banjara_00001.wav|jungle eer jadi bootivuthi
banjara_00002.wav|an peenaro vaidyeer gyan eethi
banjara_00003.wav|chamatkaar eer nai see admivun aacho veego.
banjara_00004.wav|daade daade keen, apnero maharaj haareniju kaamkido
banjara_00005.wav|bhed bahaav chey ju sendur dhekbal kidho
banjara_00006.wav|hindu, masanmaan, ameer gareeb ken kaai deeto koni
banjara_00007.wav|Vu mahammari kam ve jatrama, hazaru mankyavun banchadlido
banjara_00008.wav|hannu ken itihaas eer mai lakhmele che
banjara_00009.wav|hyderabad eero nizam een ee kamaaleer baarema malam padi
banjara_00010.wav|Janna Raj darbar een Sant Sevalal maharaj een balaye.
