banjara_00001.wav|voor pacch eethi, apner puuro samaj eer izzath badgi.
banjara_00002.wav|nazam voor kaam een dheeken, mothepari thi kai thoi duuchu keen ko
banjara_00003.wav|Gor uur vasu, balad gavdi vun charayen surakshit jaag deeno
banjara_00004.wav|Vu jaag aaj bhi che.
banjara_00005.wav|Vuuz aaj eer hyderabad eer maai er banjara hills
banjara_00006.wav|maar gor bhaai bheeno, kannitoi banjara hills dikav janna ee vaath hardema rakado
banjara_00007.wav|Vu mahaan jaag een apner jaath er naam paad melech
banjara_00008.wav|keval sant sevalal maharaj eer safaltha thi
banjara_00009.wav|maharaj eer vasu, nizam apnun vottaz chara eer adhikar deeno.
banjara_00010.wav|Raj darbar eer mai kalakaaren balathanin sant seval maharaj eer chitr karrayo
